RealGM ID,Season,Name,Position 1,Position 2,School,Conference,Wins,Losses,SOS,Class,Birthday,Draft Day Age,Height,Weight,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,AST/TOV,OFF RTG,DEF RTG,Hands-On Buckets,Pure Point Rating,FG/40,FGA/40,FG%,2FGM/40,2FGA/40,2FG%,3FGM/40,3FGA/40,3FG%,FT/40,FTA/40,FT%,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,FGM/100Poss,FGA/100Poss,2FGM/100Poss,2FGA/100Poss,3FGM/100Poss,3FGA/100Poss,FT/100Poss,FTA/100Poss,TRB/100Poss,AST/100Poss,STL/100Poss,BLK/100Poss,TOV/100Poss,PF/100Poss,PTS/100Poss,# Dunks,% Shots @ Rim,FG% @ Rim,%Astd @ Rim,% Shots @ Mid,FG% @ Mid,%Astd @ Mid,% Shots @ 3,%Astd @ 3,AAU Season,AAU Team,AAU League,AAU GP,AAU GS,AAU MIN,AAU PTS,AAU FGM,AAU FGA,AAU FG%,AAU 3PM,AAU 3PA,AAU 3P%,AAU FTM,AAU FTA,AAU FT%,AAU ORB,AAU DRB,AAU TRB,AAU AST,AAU STL,AAU BLK,AAU TOV,AAU PF,Event Year,Event Name,Event GP,Event MIN,Event PTS,Event FGM,Event FGA,Event FG%,Event 3PM,Event 3PA,Event 3P%,Event FTM,Event FTA,Event FT%,Event TRB,Event AST,Event STL,Event BLK,Event TOV,Event PF,Event Placement
108664,2021-22,Martynas Arlauskas,SG,SF,Gonzaga,WCC,16.0,0.0,4.50,3,"Jul 10, 2000",21.97,79,205,135,16,0,57,11.5,.491,.455,.000,.818,17,12.7,11.7,12.1,0.0,1.0,1.6,11.6,14.6,0.1,0.1,0.2,.136,-0.9,0.6,-0.3,0.0,109.4,94.7,0.009,-3.38,3.5,7.7,.455,3.5,7.7,.455,0.0,0.0,,3.5,6.3,.556,9.1,0.0,0.7,0.7,1.4,3.5,10.5,4.8,10.5,4.8,10.5,0.0,0.0,4.8,8.6,12.4,0.0,1.0,1.0,1.9,4.8,14.3,0,81.8,55.6,80.0,18.2,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,2019,U19 World Cup,13,23:12,7.0,2.5,7.5,.330,0.8,2.5,.333,1.2,2.0,.615,3.3,1.5,1.5,0.2,1.5,2.4,4th
151372,2021-22,Kaden Perry,PF,SF,Gonzaga,WCC,7.0,1.0,4.50,1,,,81,230,56,8,0,53,12.0,.671,.778,.000,.333,15,13.6,21.5,18.0,2.8,0.0,1.7,27.7,13.1,0.1,0.1,0.2,.138,-1.7,1.6,0.0,0.25,107.5,92.2,0.029,-6.03,5.3,6.8,.778,5.3,6.8,.778,0.0,0.0,,0.0,2.3,.000,13.6,0.8,0.0,0.8,3.0,7.5,10.6,7.2,9.2,7.2,9.2,0.0,0.0,0.0,3.1,18.4,1.0,0.0,1.0,4.1,10.2,14.3,3,88.9,87.5,57.1,11.1,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158887,2021-22,Will Graves,SG,PG,Gonzaga,WCC,16.0,0.0,4.50,4,,,77,185,,16,1,29,12.7,.502,.450,.900,.200,11,12.5,3.3,7.3,0.0,1.9,0.0,8.4,19.8,0.1,0.1,0.1,.151,2.4,0.3,2.7,0.0,112.2,97.4,0.005,-3.21,4.1,13.8,.300,0.0,1.4,.000,4.1,12.4,.333,2.8,2.8,1.000,5.5,0.0,1.4,0.0,1.4,2.8,15.2,5.6,18.7,0.0,1.9,5.6,16.8,3.7,3.7,7.5,0.0,1.9,0.0,1.9,3.7,20.6,0,0.0,0,0,10.0,0.0,0,90.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162723,2021-22,Joe Few,SG,PG,Gonzaga,WCC,13.0,0.0,4.50,1,,,72,160,,13,0,21,-2.0,.050,.000,.444,.222,5,11.5,31.7,22.8,23.3,0.0,0.0,0.0,22.8,-0.1,0.1,0.0,-.050,-11.2,-2.2,-13.3,4,55.6,89.4,0.009,11.54,0.0,17.1,.000,0.0,9.5,.000,0.0,7.6,.000,1.9,3.8,.500,17.1,7.6,0.0,0.0,0.0,3.8,1.9,0.0,23.2,0.0,12.9,0.0,10.3,2.6,5.2,23.2,10.3,0.0,0.0,0.0,5.2,2.6,0,0.0,0,0,55.6,0.0,0,44.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132637,2021-22,Dominick Harris,SG,,Gonzaga,WCC,24.0,1.0,5.92,2,"Jan 3, 2002",20.49,75,185,74,25,0,180,14.0,.549,.500,.418,.509,74,5.1,6.7,5.9,7.8,0.9,0.0,9.3,20.0,0.5,0.2,0.7,.158,1.2,-0.1,1.1,1.43,116.9,101.0,0.039,-0.17,5.1,12.2,.418,3.1,7.1,.438,2.0,5.1,.391,4.4,6.2,.714,4.0,2.2,0.7,0.0,1.6,4.2,16.7,6.9,16.4,4.2,9.5,2.7,6.9,6.0,8.3,5.4,3.0,0.9,0.0,2.1,5.7,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147080,2021-22,Bennedict Mathurin,SG,SF,Arizona,Pac-12,33,4,6.84,2,"Jun 19, 2002",20.03,78,195,129,37,37,1201,21.1,.576,.536,.465,.368,600,5.1,12.6,9.3,13.8,1.6,0.8,10.4,25.1,4.0,2.2,6.2,.205,6.1,1.9,8.0,1.42,119.7,96.8,0.279,-0.26,7.3,16.1,.450,4.5,8.6,.521,2.8,7.5,.369,4.5,5.9,.764,6.9,3.1,1.2,0.3,2.2,2.3,21.8,10.0,22.2,6.2,11.9,3.8,10.3,6.2,8.2,9.5,4.3,1.6,0.5,3.0,3.1,30.0,38,36.0,63.2,57.3,17.6,29.4,32.0,46.5,75.9,,,,,,,,,,,,,,,,,,,,,,,,,2021,U19 World Cup,7,28:14,16.1,5.6,11.4,.487,1.4,4.1,.345,3.6,4.4,.806,4.0,1.9,0.4,0.3,2.1,2.1,Bronze
120959,2021-22,Azuolas Tubelis,PF,SF,Arizona,Pac-12,32,4,6.84,2,"Mar 22, 2002",20.27,82,245,66,36,35,885,24.4,.578,.554,.105,.399,476,9.5,16.8,13.6,17.3,2.4,2.7,15.1,27.3,2.6,2.0,4.6,.210,4.8,3.2,8.0,1.05,113.2,91.8,0.255,-2.45,8.9,16.4,.540,8.4,14.7,.572,0.5,1.7,.263,4.4,6.6,.669,10.1,3.7,1.8,1.1,3.5,3.1,22.6,12.2,22.6,11.6,20.2,0.6,2.4,6.0,9.0,13.9,5.0,2.4,1.6,4.8,4.3,31.0,24,57.6,66.0,74.6,32.0,41.4,39.6,10.5,90.0,,,,,,,,,,,,,,,,,,,,,,,,,2022,U20 Euro Championship A,28,23:13,12.6,5.1,11.4,.450,0.4,2.1,.203,2.0,4.0,.500,9.0,2.0,1.2,1.8,2.3,2.1,Silver
131565,2021-22,Christian Koloko,C,,Arizona,Pac-12,33,4,6.84,3,"Jun 20, 2000",22.03,85,230,187,37,37,941,28.0,.661,.635,.010,.472,437,12.1,18.0,15.4,9.8,1.6,10.3,14.3,20.7,3.4,2.4,5.9,.250,5.2,5.3,10.5,0.86,127.3,88.6,0.209,-2.5,7.8,12.2,.635,7.8,12.1,.642,0.0,0.1,.000,4.3,5.8,.735,11.5,2.2,1.2,4.3,2.5,4.4,19.8,10.7,16.8,10.7,16.7,0.0,0.2,5.8,7.9,15.8,3.0,1.6,6.0,3.4,6.0,27.2,84,67.0,74.1,74.1,31.9,43.5,57.5,1.0,0,2018-19,Oakland Soldiers,Nike 17U,10,4,12.7,6.80,2.50,4.50,.556,0.00,0.20,.000,1.60,3.30,.485,0.00,5.80,5.80,0.70,0.40,2.80,0.70,3.30,,,,,,,,,,,,,,,,,,,,,
108606,2021-22,Kerr Kriisa,PG,,Arizona,Pac-12,29,4,6.84,1,"Jan 2, 2001",21.49,75,180,94,33,31,975,11.7,.516,.488,.829,.171,357,2.1,6.6,4.6,24.6,1.1,0.3,18.8,18.6,1.6,1.3,2.9,.119,2.7,0.9,3.7,2.15,107.6,101.4,0.256,3.03,4.1,11.8,.348,0.8,2.0,.408,3.3,9.8,.336,1.6,2.0,.816,3.4,6.4,0.8,0.1,3.0,2.4,13.1,5.6,16.2,1.1,2.8,4.5,13.4,2.3,2.8,4.7,8.7,1.1,0.2,4.1,3.3,18.0,0,4.9,64.3,22.2,12.2,31.4,18.2,82.9,77.5,,,,,,,,,,,,,,,,,,,,,,,,,2019,U18 Euro Championship B,20,25:32,10.8,3.4,9.9,.337,1.9,6.3,.291,2.2,3.0,.738,3.8,4.0,1.5,0.0,3.1,2.1,5th
132642,2021-22,Dalen Terry,SG,PG,Arizona,Pac-12,33,4,6.84,2,"Jul 12, 2002",19.97,79,195,52,37,37,1029,16.9,.584,.563,.336,.231,343,5.0,12.8,9.3,22.1,2.5,1.1,16.7,14.1,2.4,2.1,4.5,.176,3.5,4.5,8.0,2.84,122.8,94.6,0.233,4.2,4.5,8.9,.502,3.4,5.9,.572,1.1,3.0,.364,1.5,2.1,.736,7.0,5.6,1.8,0.5,2.0,3.3,11.5,6.1,12.2,4.6,8.1,1.5,4.1,2.1,2.8,9.6,7.7,2.5,0.6,2.7,4.5,15.9,22,47.6,67.9,50.0,18.8,30.2,15.4,33.6,92.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121029,2021-22,Pelle Larsson,SF,SG,Arizona,Pac-12,33,4,6.84,,"Feb 23, 2001",21.35,77,215,203,37,2,767,14.4,.617,.569,.506,.417,265,4.7,12.2,8.9,13.5,2.0,1.0,20.9,16.9,1.5,1.5,2.9,.153,1.7,3.3,5.0,1.16,113.6,95.8,0.136,-1.59,4.5,9.4,.478,2.8,4.6,.596,1.7,4.7,.363,3.2,3.9,.813,6.6,3.4,1.5,0.4,3.0,4.9,13.9,6.2,12.9,3.8,6.4,2.4,6.5,4.4,5.4,9.1,4.7,2.0,0.6,4.1,6.7,19.1,7,41.1,67.6,48.0,8.3,20.0,0.0,50.6,84.8,,,,,,,,,,,,,,,,,,,,,,,,,2019,U18 Euro Championship B,23,20:42,9.8,3.5,8.0,.438,0.3,1.4,.182,2.5,3.5,.704,5.6,2.9,1.6,1.0,2.5,2.2,7th
120510,2021-22,Oumar Ballo,C,,Arizona,Pac-12,33,4,6.84,1,"Jul 13, 2002",19.96,84,260,78,37,0,564,24.1,.649,.622,.000,.655,239,12.4,18.0,15.5,6.3,1.3,7.4,14.5,19.1,1.8,1.3,3.2,.224,4.0,3.8,7.7,0.64,125.8,91.0,0.101,-3.18,6.5,10.5,.622,6.5,10.5,.622,0.0,0.0,,4.8,6.9,.701,11.6,1.5,0.9,3.1,2.3,4.3,17.9,9.0,14.4,9.0,14.4,0.0,0.0,6.6,9.5,15.9,2.0,1.3,4.3,3.2,5.9,24.6,31,69.6,73.8,69.7,30.4,35.6,50.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021,U19 World Cup,27,27:21,14.4,5.7,11.0,.517,0.0,0.2,.167,3.0,5.9,.506,10.6,1.9,1.0,2.2,1.9,1.7,13th
107308,2021-22,Justin Kier,SG,,Arizona,Pac-12,33,4,6.84,4,"May 30, 1998",24.09,76,195,,37,6,743,13.8,.564,.530,.483,.234,253,1.9,13.4,8.3,17.7,1.8,0.1,18.3,17.4,1.2,1.4,2.6,.140,1.9,2.7,4.6,1.66,110.0,96.5,0.154,0.68,4.8,10.8,.443,2.9,5.6,.519,1.9,5.2,.361,2.1,2.5,.830,6.2,4.5,1.3,0.1,2.7,2.6,13.6,6.6,14.9,4.0,7.7,2.6,7.2,2.9,3.5,8.5,6.1,1.8,0.1,3.7,3.6,18.7,2,30.8,59.7,29.7,20.9,40.5,23.5,48.3,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122037,2021-22,Kim Aiken,SG,SF,Arizona,Pac-12,7,0,6.84,4,"Jun 1, 1999",23.08,79,215,,7,0,95,25.1,.626,.648,.593,.074,39,10.1,16.3,13.5,24.0,4.1,2.0,9.7,15.4,0.4,0.2,0.6,.259,6.5,6.4,12.9,4.67,139.0,88.7,0.121,6.08,5.5,11.4,.481,1.7,4.6,.364,3.8,6.7,.563,0.0,0.8,.000,10.1,5.9,2.9,0.8,1.3,3.4,14.7,7.5,15.6,2.3,6.4,5.2,9.3,0.0,1.2,13.9,8.1,4.1,1.2,1.7,4.6,20.3,0,25.9,57.1,50.0,14.8,0.0,0,59.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152389,2021-22,Adama Bal,SG,SF,Arizona,Pac-12,22,1,6.84,RS-Fr.,"Dec 18, 2003",18.53,78,190,,23,0,104,12.1,.608,.630,.630,.074,32,2.3,7.4,5.1,15.4,1.6,0.9,20.0,15.9,0.1,0.2,0.3,.120,1.6,2.0,3.6,1.43,108.9,99.3,0.031,-0.3,5.0,10.4,.481,1.9,3.8,.500,3.1,6.5,.471,0.0,0.8,.000,3.8,3.8,1.2,0.4,2.7,3.8,13.1,6.9,14.3,2.6,5.3,4.2,9.0,0.0,1.1,5.3,5.3,1.6,0.5,3.7,5.3,18.0,0,7.4,0.0,0,29.6,62.5,20.0,63.0,87.5,,,,,,,,,,,,,,,,,,,,,,,,,2022,U20 Euro Championship A,14,16:05,7.8,2.5,6.4,.393,1.3,3.9,.327,1.5,2.3,.656,1.1,1.0,0.9,0.1,0.4,1.1,5th
117530,2021-22,Shane Nowell,SF,,Arizona,Pac-12,18,1,6.84,1,,,78,215,84,19,0,66,5.5,.396,.361,.278,.111,16,0.0,21.9,12.2,13.8,3.3,2.9,29.7,19.4,-0.1,0.2,0.1,.037,-7.4,4.4,-3.0,0.75,69.9,86.7,0.019,-5.78,3.6,10.9,.333,3.0,7.9,.385,0.6,3.0,.200,1.2,1.2,1.000,9.1,3.6,2.4,1.2,4.8,5.5,9.1,5.0,15.0,4.2,10.8,0.8,4.2,1.7,1.7,12.5,5.0,3.3,1.7,6.7,7.5,12.5,0,22.2,75.0,66.7,50.0,22.2,50.0,27.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134905,2021-22,Jordan Mains,SG,,Arizona,Pac-12,14,0,6.84,2,,,78,200,,15,0,30,16.6,.508,.429,.429,.857,11,16.0,25.8,21.4,0.0,3.7,0.0,16.9,18.7,0.0,0.1,0.1,.172,-1.4,1.9,0.6,0.0,105.7,85.7,0.006,-6.64,4.0,9.3,.429,4.0,5.3,.750,0.0,4.0,.000,5.3,8.0,.667,16.0,0.0,2.7,0.0,2.7,5.3,13.3,5.5,12.8,5.5,7.3,0.0,5.5,7.3,11.0,22.0,0.0,3.7,0.0,3.7,7.3,18.3,0,28.6,100.0,50.0,28.6,50.0,100.0,42.9,0,2018-19,Powerhouse Hoops,UAA 17U,8,5,20.1,4.75,1.75,5.38,.326,1.00,3.50,.286,0.25,0.25,1.000,0.75,1.75,2.50,1.00,0.88,0.25,1.12,2.38,,,,,,,,,,,,,,,,,,,,,
139617,2021-22,Tautvilas Tubelis,PF,SF,Arizona,Pac-12,13,0,6.84,1,"Mar 22, 2002",20.27,79,220,,14,0,24,-10.2,.268,.286,.429,.143,3,0.0,0.0,0.0,0.0,0.0,0.0,28.6,20.7,-0.1,0.0,-0.1,-.151,-12.0,-4.8,-16.8,0.0,40.0,107.4,0.005,-13.21,3.3,11.7,.286,3.3,6.7,.500,0.0,5.0,.000,0.0,1.7,.000,0.0,0.0,0.0,0.0,5.0,1.7,6.7,4.6,16.0,4.6,9.2,0.0,6.9,0.0,2.3,0.0,0.0,0.0,0.0,6.9,2.3,9.2,0,28.6,100.0,100.0,28.6,0.0,0,42.9,0,,,,,,,,,,,,,,,,,,,,,,,,,2018,U16 Euro Championship A,7,12:07,3.4,0.9,2.0,.429,0.4,1.0,.429,1.3,1.7,.750,2.3,1.0,0.3,0.1,0.9,0.7,7th
170052,2021-22,Grant Weitman,SG,PG,Arizona,Pac-12,15,0,6.84,1,,,76,205,,16,0,26,-1.0,.333,.333,.667,.000,2,4.6,7.4,6.2,0.0,0.0,0.0,25.0,7.3,0.0,0.0,0.0,.016,-6.1,0.3,-5.8,0.0,66.8,103.3,0.002,-4.22,1.5,4.6,.333,1.5,1.5,1.000,0.0,3.1,.000,0.0,0.0,,4.6,0.0,0.0,0.0,1.5,4.6,3.1,2.1,6.3,2.1,2.1,0.0,4.2,0.0,0.0,6.3,0.0,0.0,0.0,2.1,6.3,4.2,0,33.3,100.0,0.0,0.0,0,0,66.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
