,Unnamed: 0,Unnamed: 0.1,RealGM ID,Season,Name,Position 1,Position 2,Play Style,Height,Weight,School,Conference,Wins,Losses,SOS,Class,Birthday,Draft Day Age,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Stock%,TOV%,Adjusted TOV%,USG%,Offensive Load,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,AST/TOV,OFF RTG,DEF RTG,Hands-On Buckets,Pure Point Rating,FG/40,FGA/40,FG%,2FGM/40,2FGA/40,2FG%,3FGM/40,3FGA/40,3FG%,3 Point Proficiency,3 Point Confidence,FT/40,FTA/40,FT%,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,FGM/100Poss,FGA/100Poss,2FGM/100Poss,2FGA/100Poss,3FGM/100Poss,3FGA/100Poss,FT/100Poss,FTA/100Poss,TRB/100Poss,AST/100Poss,STL/100Poss,BLK/100Poss,TOV/100Poss,PF/100Poss,PTS/100Poss,FGA/100Poss.1,# Dunks,Dunk vs Rim Shot Percentage,% Dunks Unassisted,Dunks per Minute Played,Unassisted Shots @ Rim /100Poss,% Shots @ Rim,FG% @ Rim,%Astd @ Rim,% Shots @ Mid,FG% @ Mid,%Astd @ Mid,% Shots @ 3,%Astd @ 3,% Assisted,AAU Season,AAU Team,AAU League,AAU GP,AAU GS,AAU MIN,AAU PTS,AAU FGM,AAU FGA,AAU FG%,AAU 3PM,AAU 3PA,AAU 3P%,AAU FTM,AAU FTA,AAU FT%,AAU ORB,AAU DRB,AAU TRB,AAU AST,AAU STL,AAU BLK,AAU TOV,AAU PF,Event Year,Event Name,Event GP,Event MIN,Event PTS,Event FGM,Event FGA,Event FG%,Event 3PM,Event 3PA,Event 3P%,Event FTM,Event FTA,Event FT%,Event TRB,Event AST,Event STL,Event BLK,Event TOV,Event PF,Event Placement,Box Score Creation,Rim Shot Creation,Helio Score,Athleticism Score,Passing Score,Rebounding Score,Shooting Score,Finishing Score,Defense Score,Shot Creation Score,College Productivity Score,Overall Score
10,115,30,135562,2021-22,Andre Curbelo,PG,,Primary,73,175.0,Illinois,Big Ten,10.0,9.0,9.48,2.0,"Oct 13, 2001",20.71,47.0,19,4,367,8.6,0.41,0.349,0.228,0.342,163.0,3.5,14.0,8.9,31.7,2.2,0.5,0.8148148148148148,23.4,0.181,31.2,46.953,-0.4,0.6,0.2,0.025,-3.4,1.7,-1.7,1.13,83.6,98.8,0.232,-3.58,5.3,16.2,0.329,4.7,12.5,0.374,0.7,3.7,0.176,0.107,0.1986534653465346,4.1,5.6,0.745,6.3,6.5,1.5,0.2,5.8,4.8,15.5,7.9,23.9,6.9,18.5,1.0,5.5,6.1,8.2,9.3,9.6,2.2,0.3,8.5,7.1,22.8,23.9,0.0,0.0,0.0,0.0,7.966706499999999,40.9,44.3,18.5,36.2,29.6,0.0,22.8,83.3,26.5589,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,U19 World Cup,18.0,28:03,14.4,5.7,13.2,0.43,0.5,2.5,0.2,2.6,3.2,0.81,5.1,5.2,2.9,0.1,3.3,2.7,6th,5.238,48.935,1.4059599069405675,0.41025641025641024,0.5537190082644629,0.49586776859504134,0.14285714285714285,0.3025210084033613,0.4380165289256198,0.8781512605042017,0.17355371900826447,42.4
11,0,91,135493,2021-22,Nijel Pack,PG,SG,Shooter,72,180.0,Kansas State,Big 12,13.0,16.0,9.06,2.0,"May 22, 2001",21.11,123.0,29,28,960,22.7,0.603,0.578,0.566,0.184,451.0,2.6,10.9,6.7,16.3,2.4,0.4,0.6857142857142857,9.3,0.078,25.2,34.822,3.1,1.3,4.4,0.184,8.6,2.0,10.6,1.51,118.6,101.9,0.342,0.04,7.3,16.0,0.455,3.3,7.0,0.479,4.0,9.1,0.436,0.341,0.492566866267465,2.5,3.0,0.845,4.6,2.7,1.6,0.1,1.8,2.0,21.0,10.8,23.8,4.9,10.3,5.9,13.5,3.7,4.4,6.8,4.0,2.4,0.2,2.7,3.0,31.2,23.8,1.0,1.8,0.211932,0.0010416666666666,2.802212,14.5,57.1,18.8,28.8,43.2,20.8,56.6,68.4,47.430800000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.736,53.825,0.8334286542060851,0.21367521367521367,0.71900826446281,0.3305785123966942,0.9747899159663865,0.20168067226890757,0.2727272727272727,0.8151260504201681,1.0,56.599999999999994
12,5,105,140069,2021-22,Malachi Smith,SG,PG,Scorer,76,210.0,Chattanooga,Southern,27.0,8.0,-0.94,3.0,"Dec 6, 1999",22.57,400.0,35,34,1239,27.9,0.597,0.552,0.289,0.345,672.0,5.9,16.7,11.4,17.9,2.9,0.4,0.703030303030303,12.2,0.099,28.0,40.34,5.2,2.3,7.5,0.241,6.5,1.6,8.2,1.31,122.0,96.6,0.369,-0.87,8.0,16.2,0.493,6.1,11.5,0.528,1.9,4.7,0.407,0.262,0.3379971264367815,4.6,5.6,0.827,7.6,3.4,1.9,0.1,2.6,1.3,22.5,12.1,24.5,9.2,17.4,2.9,7.1,7.0,8.5,11.5,5.2,2.9,0.2,4.0,2.0,34.1,24.5,4.0,1.99,0.6982412500000001,0.003228410008071,8.5964375,40.1,59.7,12.5,30.9,43.9,7.4,28.9,81.4,30.8237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.874,64.751,1.0387721068893183,0.6495726495726496,0.628099173553719,0.6570247933884298,0.9159663865546218,0.6428571428571429,0.4834710743801653,0.907563025210084,0.8677685950413223,71.89999999999999
13,19,45,121632,2021-22,Umoja Gibson,SG,PG,Shooter,73,169.0,Oklahoma,Big 12,19.0,16.0,10.1,4.0,"Jul 4, 1998",23.99,400.0,35,35,1122,16.6,0.605,0.568,0.684,0.246,408.0,0.7,7.4,4.2,9.8,2.5,0.1,0.1923076923076923,11.5,0.098,21.1,27.515,2.6,1.6,4.2,0.151,4.1,2.0,6.1,1.08,115.0,100.8,0.231,-1.29,5.3,12.3,0.435,2.1,3.9,0.532,3.3,8.4,0.39,0.328,0.4967597765363129,2.6,3.0,0.871,2.6,1.9,1.6,0.0,1.8,2.3,16.6,8.1,18.6,3.1,5.9,5.0,12.7,4.0,4.6,3.9,2.9,2.5,0.1,2.7,3.5,25.1,18.6,0.0,0.0,0.0,0.0,2.33523,18.6,62.5,32.5,13.0,40.0,55.6,68.4,73.9,63.82060000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.819,53.784,0.1121972477743983,0.1111111111111111,0.4380165289256198,0.05785123966942149,0.9327731092436975,0.3949579831932773,0.23140495867768596,0.46218487394957986,0.9669421487603306,44.9
14,21,111,169391,2021-22,Darrion Trammell,SG,PG,Scorer,70,165.0,Seattle,WAC,22.0,9.0,-4.1,3.0,,,400.0,31,31,1037,21.9,0.543,0.469,0.398,0.485,556.0,1.5,10.8,6.1,30.5,4.2,0.4,0.7304347826086957,15.5,0.116,27.7,42.322,2.6,2.4,5.1,0.195,2.8,3.1,6.0,1.7,109.1,91.3,0.399,1.13,6.2,15.5,0.4,4.1,9.3,0.438,2.1,6.2,0.344,0.24,0.3690350404312669,6.2,7.5,0.821,4.6,6.0,3.0,0.2,3.5,2.6,20.7,8.6,21.6,5.7,13.0,3.0,8.6,8.6,10.5,6.3,8.3,4.2,0.2,4.9,3.7,28.8,21.6,0.0,0.0,0.0,0.0,5.916326399999999,30.4,57.7,9.9,30.2,30.3,5.4,39.4,31.5,17.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.961,60.581,,0.6410256410256411,0.9173553719008265,0.25206611570247933,0.44537815126050423,0.41596638655462187,0.5950413223140496,0.9915966386554622,0.6735537190082644,61.6
15,26,37,121490,2021-22,Greg Elliott,SG,PG,Shooter,75,180.0,Marquette,Big East,15.0,13.0,8.96,4.0,"Jan 28, 1999",23.42,224.0,28,1,469,16.9,0.566,0.503,0.591,0.356,188.0,2.0,10.5,6.5,14.5,2.6,0.4,0.6933333333333334,12.1,0.099,21.4,29.306,1.0,0.6,1.6,0.134,3.5,2.0,5.5,1.54,110.7,102.1,0.125,0.14,4.9,12.7,0.389,2.0,5.2,0.393,2.9,7.5,0.386,0.307,0.466992835209826,4.0,4.5,0.887,4.8,3.2,1.9,0.2,2.0,2.5,16.8,6.9,17.8,2.9,7.3,4.1,10.5,5.6,6.3,6.7,4.4,2.6,0.2,2.9,3.5,23.5,17.8,0.0,0.0,0.0,0.0,3.3679024,26.8,42.5,29.4,14.1,33.3,14.3,59.1,91.2,63.7947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.544,39.706,0.4193644279024508,0.3076923076923077,0.7520661157024794,0.2975206611570248,0.7478991596638656,0.1092436974789916,0.24793388429752067,0.44537815126050423,0.8925619834710744,47.5
16,27,41,135091,2021-22,Eric Gaines,SG,PG,Slasher,74,150.0,LSU,SEC,22.0,12.0,8.3,2.0,"Jan 19, 2001",21.44,102.0,34,8,913,14.4,0.509,0.432,0.329,0.498,326.0,2.7,11.1,7.0,20.4,4.4,2.4,3.1058823529411765,23.8,0.185,21.0,31.313,0.5,2.3,2.9,0.125,0.0,5.4,5.4,1.06,95.8,89.2,0.222,-2.93,4.2,10.6,0.391,3.3,7.1,0.46,0.9,3.5,0.25,0.164,0.2841105354058721,4.2,5.3,0.793,5.0,4.4,3.1,0.7,4.1,3.5,13.4,5.9,15.1,4.7,10.1,1.2,5.0,6.0,7.5,7.0,6.2,4.4,1.0,5.8,5.0,19.0,15.1,15.0,14.15,4.394169300000001,0.0164293537787513,4.689184200000001,43.8,51.9,29.1,23.1,35.7,10.0,33.1,75.0,39.88080000000001,2018-19,Atlanta Xpress,UAA 16U,7.0,6.0,20.4,7.86,2.43,7.86,0.309,0.43,1.71,0.25,2.57,4.29,0.6,0.71,1.57,2.29,3.14,2.0,0.0,2.57,2.14,,,,,,,,,,,,,,,,,,,,,,3.445,49.362,0.9133118416246612,0.9914529914529915,0.5413223140495868,0.384297520661157,0.37815126050420167,0.4369747899159664,0.9421487603305785,0.773109243697479,0.78099173553719,65.4
17,33,115,148738,2021-22,Rondel Walker,SG,PG,Shooter,77,180.0,Oklahoma State,Big 12,15.0,15.0,10.58,2.0,"Sep 22, 2001",20.77,104.0,30,8,670,10.7,0.479,0.442,0.59,0.201,143.0,1.9,10.8,6.4,9.1,4.2,0.7,1.2,16.9,0.145,13.7,18.673,0.2,1.5,1.7,0.1,-0.7,5.6,5.0,1.06,95.1,92.9,0.11,-1.34,3.0,8.3,0.36,1.6,3.4,0.474,1.4,4.9,0.28,0.222,0.3797701149425287,1.4,1.7,0.821,4.6,2.0,2.9,0.2,1.9,2.3,8.7,4.3,12.1,2.3,4.9,2.0,7.1,2.0,2.4,6.7,2.9,4.2,0.3,2.7,3.3,12.7,12.1,4.0,9.53,1.5685426999999998,0.0059701492537313,1.991539,30.2,52.4,45.5,10.8,33.3,20.0,59.0,100.0,74.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899,42.344,0.4987352498212309,0.24786324786324787,0.4297520661157025,0.2892561983471074,0.48739495798319327,0.2605042016806723,0.71900826446281,0.12605042016806722,0.8016528925619835,42.0
18,34,102,159536,2021-22,Mark Sears,SG,PG,Scorer,73,185.0,Ohio,MAC,25.0,10.0,-4.17,2.0,,,227.0,35,35,1250,24.6,0.578,0.505,0.299,0.438,707.0,6.0,13.9,9.7,24.7,2.7,0.4,0.6967741935483871,15.9,0.123,28.6,42.311,4.3,1.9,6.2,0.198,4.5,0.4,4.9,1.29,114.6,99.8,0.403,-1.27,7.0,15.7,0.444,5.1,11.0,0.459,1.9,4.7,0.408,0.265,0.3450975954738331,6.1,6.9,0.884,6.7,4.6,1.9,0.1,3.6,2.1,22.0,10.1,22.8,7.3,16.0,2.8,6.8,8.8,10.0,9.7,6.7,2.7,0.2,5.2,3.1,31.8,22.8,1.0,0.47,0.16793053,0.0008,8.1464172,43.1,55.2,17.1,27.0,30.8,24.4,29.9,53.3,29.8948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.834,59.079,,0.6324786324786325,0.6776859504132231,0.5702479338842975,0.5714285714285714,0.5378151260504201,0.371900826446281,0.9243697478991597,0.6157024793388429,61.3
19,36,58,151295,2021-22,Tyrese Hunter,PG,SG,Primary,72,175.0,Iowa State,Big 12,22.0,13.0,9.33,1.0,"Aug 11, 2003",18.88,37.0,35,35,1116,14.1,0.475,0.443,0.377,0.277,426.0,1.9,11.9,6.8,32.3,3.8,1.1,1.706122448979592,21.8,0.157,24.2,38.128,0.3,2.5,2.8,0.1,0.9,3.7,4.6,1.52,92.2,92.2,0.367,0.15,5.0,12.8,0.391,3.7,8.0,0.462,1.3,4.8,0.274,0.188,0.3173517665130568,2.4,3.5,0.687,4.4,6.2,2.5,0.4,4.1,2.5,13.8,7.5,19.1,5.5,11.9,2.0,7.2,3.6,5.3,6.6,9.2,3.8,0.5,6.0,3.7,20.5,19.1,16.0,10.98,3.3061219199999994,0.014336917562724,5.751086399999999,40.8,54.8,26.2,21.5,29.9,21.7,37.7,78.4,44.9119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.309,53.81,1.5512810038175175,0.8547008547008547,0.8677685950413223,0.359504132231405,0.18487394957983194,0.4789915966386555,0.8429752066115702,0.8319327731092437,0.7272727272727273,64.4
