,RealGM ID,Season,Name,Position 1,Position 2,Play Style,Height,Weight,School,Conference,Wins,Losses,SOS,Class,Birthday,Draft Day Age,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Stock%,TOV%,Adjusted TOV%,USG%,Offensive Load,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,AST/TOV,OFF RTG,DEF RTG,Hands-On Buckets,Pure Point Rating,FG/40,FGA/40,FG%,2FGM/40,2FGA/40,2FG%,3FGM/40,3FGA/40,3FG%,3 Point Proficiency,3 Point Confidence,FT/40,FTA/40,FT%,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,FGM/100Poss,FGA/100Poss,2FGM/100Poss,2FGA/100Poss,3FGM/100Poss,3FGA/100Poss,FT/100Poss,FTA/100Poss,TRB/100Poss,AST/100Poss,STL/100Poss,BLK/100Poss,TOV/100Poss,PF/100Poss,PTS/100Poss,FGA/100Poss,# Dunks,Dunk vs Rim Shot Percentage,% Dunks Unassisted,Dunks per Minute Played,Unassisted Shots @ Rim /100Poss,% Shots @ Rim,FG% @ Rim,%Astd @ Rim,% Shots @ Mid,FG% @ Mid,%Astd @ Mid,% Shots @ 3,%Astd @ 3,% Assisted,AAU Season,AAU Team,AAU League,AAU GP,AAU GS,AAU MIN,AAU PTS,AAU FGM,AAU FGA,AAU FG%,AAU 3PM,AAU 3PA,AAU_3P,AAU FTM,AAU FTA,AAU FT%,AAU ORB,AAU DRB,AAU TRB,AAU AST,AAU STL,AAU BLK,AAU TOV,AAU PF,Event Year,Event Name,Event GP,Event MIN,Event PTS,Event FGM,Event FGA,Event FG%,Event 3PM,Event 3PA,Event 3P%,Event FTM,Event FTA,Event FT%,Event TRB,Event AST,Event STL,Event BLK,Event TOV,Event PF,Event Placement,Finishing Score,Shooting Score,Shot Creation Score,Passing Score,Rebounding Score,Athleticism Score,Defense Score,College Productivity Score,Percentile Score,Box Score Creation,Rim Shot Creation,Helio Score,Draft Score
511,108203,2021-22,Markquis Nowell,PG,,Floor General,68,155.0,Kansas State,Big 12,14.0,13.0,9.06,4.0,"Dec 25, 1999",22.52,226.0,27,21,821,18.7,0.509,0.46,0.483,0.283,369.0,1.5,11.9,6.6,35.9,4.3,0.1,0.19545454545454544,17.3,0.123,25.4,40.643,1.3,1.5,2.8,0.136,2.8,3.4,6.3,1.97,102.9,97.3,0.377,2.67,5.5,14.1,0.386,3.4,7.3,0.46,2.1,6.8,0.307,0.228,0.37539493670886076,3.3,4.0,0.829,4.5,6.6,2.9,0.0,3.4,3.2,16.3,8.1,20.9,5.0,10.8,3.1,10.1,4.9,5.9,6.7,9.8,4.3,0.1,5.0,4.8,24.2,20.9,0.0,0.0,0.0,0.0,6.816953,38.6,51.8,15.5,13.1,28.9,18.2,48.3,55.8,35.318599999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.38271604938271603,0.9135802469135802,0.8809523809523809,0.6845238095238095,0.425,0.5476190476190477,0.9166666666666666,67.7,6.708,54.782,0.2688191599689338,0.32175413600107255
12,90019,2021-22,Kellan Grady,PG,,Shooter,75,205.0,Kentucky,SEC,26.0,8.0,8.02,4.0,"Sep 11, 1997",24.8,95.0,34,34,1119,13.8,0.602,0.591,0.7,0.129,325.0,1.0,6.1,3.6,6.2,1.4,0.2,0.35,7.7,0.067,15.2,20.779,2.6,1.4,4.0,0.143,4.2,2.0,6.1,1.63,126.7,103.1,0.174,0.21,4.8,10.8,0.446,1.7,3.3,0.516,3.1,7.6,0.415,0.353,0.5210762331838565,1.0,1.4,0.744,2.5,1.6,1.0,0.1,1.0,1.4,13.8,7.0,15.7,2.4,4.7,4.5,11.0,1.5,2.0,3.7,2.3,1.4,0.1,1.4,2.0,20.0,15.7,7.0,20.69,1.7171044800000002,0.006255585344057194,1.3029743999999996,11.2,79.4,25.9,18.8,35.1,20.0,70.0,84.1,65.5308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5740740740740741,0.8765432098765432,0.19753086419753085,0.38095238095238093,0.07142857142857142,0.325,0.27380952380952384,0.8452380952380952,44.3,1.502,68.567,0.1578320811322825,0.35310203757615
604,120276,2021-22,Jared Bynum,PG,,Shooter,70,180.0,Providence,Big East,23.0,6.0,7.75,3.0,"Mar 16, 1999",23.29,374.0,29,10,799,19.1,0.54,0.493,0.375,0.394,363.0,1.0,10.5,5.9,32.1,2.1,0.7,1.05,15.4,0.111,25.5,41.289,1.9,1.1,3.0,0.151,4.0,1.9,5.9,1.95,109.4,101.1,0.325,2.37,5.8,13.9,0.415,3.6,8.7,0.416,2.2,5.2,0.413,0.284,0.39308375634517767,4.1,5.5,0.752,4.2,5.9,1.4,0.3,3.0,2.2,17.8,8.7,21.0,5.5,13.1,3.3,7.9,6.2,8.3,6.4,8.9,2.1,0.4,4.6,3.3,27.0,21.0,0.0,0.0,0.0,0.0,7.3354680000000005,37.2,47.6,6.1,25.3,32.9,0.0,37.5,44.2,18.8442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4567901234567901,0.5925925925925926,0.9876543209876543,0.8452380952380952,0.5178571428571429,0.8375,0.6369047619047619,0.8333333333333334,71.3,7.5,53.515,0.675167725128346,0.40813208968678993
563,107882,2021-22,Francisco Farabello,PG,,Shooter,75,183.0,TCU,Big 12,21.0,13.0,10.16,3.0,"Nov 1, 2000",21.66,142.0,34,6,646,11.8,0.583,0.541,0.811,0.246,152.0,1.3,13.5,7.4,12.0,1.7,0.2,0.35789473684210527,17.0,0.135,12.7,19.32,1.0,1.0,2.0,0.123,1.9,3.4,5.3,1.54,115.8,99.5,0.104,0.11,2.9,7.6,0.385,0.6,1.4,0.391,2.4,6.1,0.384,0.348,0.5212117154811716,1.7,1.9,0.9,5.1,2.7,1.2,0.1,1.7,1.5,9.8,4.3,11.2,0.8,2.1,3.5,9.1,2.5,2.8,7.6,4.0,1.7,0.1,2.6,2.3,14.6,11.2,0.0,0.0,0.0,0.0,0.8815071999999999,11.8,42.9,33.3,7.6,33.3,33.3,80.7,88.6,77.96039999999999,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,U19 World Cup,26,21:58,6.0,2.1,6.5,.327,0.8,2.9,.267,1.0,1.3,.765,4.2,3.9,1.6,0.0,1.9,1.4,11th,0.04938271604938271,0.9012345679012346,0.07407407407407407,0.4166666666666667,0.8392857142857143,0.15,0.4166666666666667,0.9761904761904762,47.8,1.801,35.681,0.7431106539762763,0.5273006665750258
510,118832,2021-22,Mark Smith,PG,,Athletic,77,220.0,Kansas State,Big 12,14.0,17.0,9.06,4.0,"Aug 16, 1999",22.87,79.0,31,31,984,18.4,0.553,0.514,0.355,0.429,388.0,6.3,24.9,15.4,11.8,2.0,0.1,0.19047619047619047,14.0,0.12,22.1,29.14,1.9,1.7,3.6,0.148,3.4,1.7,5.2,0.93,108.6,97.4,0.25,-2.28,5.4,12.0,0.449,3.9,7.8,0.497,1.5,4.3,0.362,0.245,0.358465829846583,3.7,5.2,0.709,10.6,2.2,1.3,0.0,2.4,3.4,16.0,8.0,17.8,5.7,11.5,2.3,6.3,5.4,7.7,15.7,3.3,2.0,0.1,3.5,5.0,23.7,17.8,3.0,2.21,0.7486198199999998,0.003048780487804878,6.029607599999999,45.9,58.8,26.2,18.6,27.3,20.0,35.5,78.9,43.755300000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8703703703703703,0.32098765432098764,0.5308641975308642,0.16666666666666666,1.0,0.6625,0.47619047619047616,0.9404761904761905,62.1,2.764,57.547,0.9949590801535921,0.6003470788975797
548,88989,2021-22,Courtney Ramey,PG,,Shooter,75,185.0,Texas,Big 12,22.0,12.0,8.87,4.0,"Oct 2, 1999",22.75,43.0,34,32,1024,13.0,0.519,0.486,0.505,0.245,297.0,1.9,12.6,7.2,10.4,2.1,0.8,1.1586206896551723,11.5,0.097,18.2,24.813,1.4,1.9,3.3,0.129,2.1,2.9,5.0,1.32,106.5,96.3,0.196,-0.49,4.3,10.8,0.397,2.4,5.4,0.445,1.9,5.5,0.35,0.263,0.4134502923976608,2.0,2.7,0.765,4.7,2.1,1.4,0.3,1.6,2.7,12.5,6.7,16.8,3.7,8.3,3.0,8.5,3.1,4.1,7.3,3.2,2.1,0.4,2.4,4.2,19.4,16.8,0.0,0.0,0.0,0.0,1.6043328,18.4,52.9,48.1,31.0,39.5,17.6,50.5,87.8,58.645399999999995,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,adidas Nations,5,21:36,6.6,2.0,4.6,.435,1.0,2.2,.455,1.6,2.4,.667,4.0,4.4,0.4,0.0,1.6,2.2,6th,0.2037037037037037,0.8888888888888888,0.2716049382716049,0.2976190476190476,0.7916666666666666,0.2625,0.8452380952380952,0.8928571428571429,55.7,1.971,41.479,0.5866289476137908,0.537980196654911
523,121409,2021-22,Jordan Goldwire,PG,,Athletic,75,194.0,Oklahoma,Big 12,19.0,16.0,10.1,4.0,"Jun 18, 1999",23.04,398.0,35,35,1052,15.6,0.526,0.487,0.285,0.259,396.0,2.6,8.2,5.6,24.1,2.9,1.1,1.5950000000000002,17.6,0.133,21.7,32.444,1.6,1.7,3.3,0.125,2.2,2.8,4.9,1.69,104.3,98.9,0.297,0.92,5.2,11.7,0.447,4.3,8.4,0.511,1.0,3.3,0.284,0.181,0.28449912126537785,2.4,3.0,0.8,3.4,4.8,1.9,0.4,2.8,2.7,13.9,7.9,17.8,6.5,12.7,1.4,5.1,3.7,4.6,5.2,7.2,2.9,0.6,4.3,4.1,21.0,17.8,1.0,0.76,0.24955588000000006,0.0009505703422053232,5.844861400000001,42.7,59.1,23.1,28.8,39.3,8.6,28.5,64.0,30.580500000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395061728395061,0.5185185185185185,0.8271604938271605,0.6547619047619048,0.4583333333333333,0.76875,0.8333333333333334,0.9642857142857143,73.3,4.084,58.265,1.1425050678757882,0.19424473636687095
870,132647,2021-22,Ace Baldwin,PG,,Shooter,73,190.0,VCU,A-10,18.0,6.0,5.17,2,,,,24,24,804,16.5,0.522,0.485,0.329,0.307,311.0,2.4,9.8,6.3,32.8,4.4,0.7,1.2078431372549019,23.0,0.158,22.0,36.15,0.8,2.0,2.8,0.138,1.0,3.7,4.7,1.69,99.1,90.4,0.362,1.23,4.7,11.3,0.417,3.2,7.6,0.418,1.5,3.7,0.413,0.273,0.36624528301886794,2.6,3.5,0.743,4.2,6.6,3.0,0.2,3.9,2.9,13.6,6.9,16.5,4.6,11.1,2.2,5.4,3.8,5.1,6.2,9.6,4.4,0.4,5.7,4.3,19.8,16.5,0.0,0.0,0.0,0.0,4.200636,26.3,51.7,3.2,40.8,35.5,18.2,32.9,58.1,27.382099999999998,2018-19,Team BBC,Gold Gauntlet 17U,4.0,4.0,27.3,10.5,3.25,6.5,0.5,0.75,2.5,0.3,3.25,4.5,0.722,0.5,1.25,1.75,3.5,1.0,0.0,0.75,1.5,,,,,,,,,,,,,,,,,,,,,,0.30864197530864196,0.6790123456790124,0.8765432098765432,0.7619047619047619,0.625,0.8,0.8928571428571429,0.6071428571428571,69.39999999999999,6.302,54.948,,
15,106732,2021-22,Davion Mintz,PG,,Shooter,75,195.0,Kentucky,SEC,23.0,8.0,8.02,4.0,"Jun 30, 1998",24.0,,31,6,767,12.6,0.512,0.48,0.569,0.298,255.0,3.2,6.7,5.0,11.2,1.4,0.6,0.84,10.8,0.087,18.3,26.366,1.5,1.0,2.4,0.127,2.9,1.8,4.6,1.77,113.0,102.5,0.152,0.74,4.5,11.7,0.382,2.2,5.1,0.433,2.3,6.7,0.344,0.27,0.42877546549835704,2.5,3.5,0.701,3.5,2.9,1.0,0.2,1.6,2.7,13.7,6.5,17.0,3.2,7.3,3.3,9.6,3.5,5.0,5.0,4.1,1.4,0.3,2.3,3.9,19.8,17.0,3.0,7.19,1.1046428400000001,0.003911342894393742,2.611812,18.6,54.8,17.4,24.3,34.5,21.1,57.1,86.4,57.69810000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24691358024691357,0.5555555555555556,0.2345679012345679,0.5238095238095238,0.27976190476190477,0.7875,0.4523809523809524,0.75,47.9,2.505,51.96,0.4447656002516293,
544,135052,2021-22,Donovan Williams,PG,,Scorer,77,200.0,Oklahoma State,MWC,4.0,5.0,4.58,2.0,"Mar 10, 2001",21.31,73.0,27,13,598,20.8,0.576,0.556,0.315,0.423,297.0,4.3,12.6,8.5,12.3,1.8,2.5,2.093023255813953,13.6,0.119,30.0,39.526,1.3,0.9,2.2,0.15,3.3,1.2,4.5,0.64,106.4,99.8,0.043,-2.67,8.1,16.6,0.488,5.8,11.4,0.512,2.3,5.2,0.436,0.286,0.3657523302263649,4.5,7.0,0.638,6.0,2.0,1.2,0.8,3.1,5.1,22.9,12.1,24.8,8.7,17.0,3.4,7.8,6.7,10.5,9.0,3.0,1.8,1.2,4.7,7.6,34.2,24.8,9.0,8.06,1.207791,0.015050167224080268,3.71628,45.0,33.3,66.7,10.0,50.0,0.0,45.0,100.0,75.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3950617283950617,0.9629629629629629,0.4506172839506173,0.05952380952380952,0.9226190476190477,0.925,0.8690476190476191,0.625,65.10000000000001,4.414,32.507,2.1027338823248165,0.701012037482709
